Unnamed: 0,android_total_ratings,ios_file_size,ios_current_ratings,ios_all_ratings,android_avg_rating,android_rating_1,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_file_size
7/21/2016 23:20,1344609,110,7759,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 23:30,1344609,110,7759,108886,3.9,207257,175799,764122,73972,123459,58
7/21/2016 23:40,1344609,110,7759,109369,3.9,207257,175799,764122,73972,123459,58
7/21/2016 23:50,1344609,110,7759,109369,3.9,207257,175799,764122,73972,123459,58
7/22/2016 0:00,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 0:10,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 0:20,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 0:30,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 0:40,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 0:50,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:00,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:10,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:20,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:30,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:40,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 1:50,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:00,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:10,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:20,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:30,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:40,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 2:50,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:00,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:10,1357265,110,7759,109369,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:20,1357265,110,8196,109777,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:30,1357265,110,8196,109777,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:40,1357265,110,8196,109777,3.9,208991,177363,771895,74479,124537,58
7/22/2016 3:50,1357265,110,8196,109777,3.9,208991,177363,771895,74479,124537,58
7/22/2016 4:00,1357265,110,8196,109777,3.9,208991,177363,771895,74479,124537,58
7/22/2016 4:10,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 4:20,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 4:30,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 4:40,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 4:50,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:00,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:10,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:20,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:30,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:40,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 5:50,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:00,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:10,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:20,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:30,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:40,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 6:50,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:00,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:10,1370721,110,8196,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:20,1370721,110,8196,109991,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:30,1370721,110,8435,109777,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:40,1370721,110,8435,109991,3.9,211006,179345,779256,75228,125886,58
7/22/2016 7:50,1370721,110,8435,109991,3.9,211006,179345,779256,75228,125886,58
7/22/2016 8:00,1370721,110,8435,109991,3.9,211006,179345,779256,75228,125886,58
7/22/2016 8:10,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
7/22/2016 8:20,1389049,110,8435,109991,3.9,214408,181820,788267,76578,127976,58
