,Unnamed: 0,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
111,2016-07-21 18:30:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
112,2016-07-21 18:40:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
113,2016-07-21 18:50:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
114,2016-07-21 19:00:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
115,2016-07-21 19:10:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
116,2016-07-21 19:20:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
117,2016-07-21 19:30:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
118,2016-07-21 19:40:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
119,2016-07-21 19:50:00,1334278,3.9,58.0,174065,757714,73640,122554,206305
120,2016-07-21 20:00:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
121,2016-07-21 20:10:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
122,2016-07-21 20:20:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
123,2016-07-21 20:30:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
124,2016-07-21 20:40:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
125,2016-07-21 20:50:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
126,2016-07-21 21:00:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
127,2016-07-21 21:10:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
128,2016-07-21 21:20:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
129,2016-07-21 21:30:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
130,2016-07-21 21:40:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
131,2016-07-21 21:50:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
132,2016-07-21 22:00:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
133,2016-07-21 22:10:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
134,2016-07-21 22:20:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
135,2016-07-21 22:30:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
136,2016-07-21 22:40:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
137,2016-07-21 22:50:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
138,2016-07-21 23:00:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
139,2016-07-21 23:10:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
140,2016-07-21 23:20:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
141,2016-07-21 23:30:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
142,2016-07-21 23:40:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
143,2016-07-21 23:50:00,1344609,3.9,58.0,175799,764122,73972,123459,207257
144,2016-07-22 00:00:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
145,2016-07-22 00:10:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
146,2016-07-22 00:20:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
147,2016-07-22 00:30:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
148,2016-07-22 00:40:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
149,2016-07-22 00:50:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
150,2016-07-22 01:00:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
151,2016-07-22 01:10:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
152,2016-07-22 01:20:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
153,2016-07-22 01:30:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
154,2016-07-22 01:40:00,1357265,3.9,58.0,177363,771895,74479,124537,208991
